iter	Passed	Remaining
0	1	167
1	3	163
2	4	161
3	6	160
4	8	159
5	10	159
6	11	156
7	13	152
8	15	153
9	16	152
10	18	152
11	20	152
12	22	149
13	24	148
14	26	150
15	28	151
16	30	149
17	32	148
18	34	146
19	36	144
20	38	143
21	39	140
22	41	138
23	44	140
24	46	139
25	48	136
26	49	133
27	50	130
28	52	128
29	54	126
30	55	124
31	57	122
32	58	119
33	60	116
34	61	114
35	62	111
36	64	109
37	65	107
38	67	105
39	68	102
40	69	100
41	70	96
42	71	94
43	72	92
44	73	90
45	75	88
46	76	85
47	77	83
48	78	81
49	79	79
50	80	77
51	81	75
52	82	73
53	83	71
54	84	69
55	85	67
56	87	65
57	88	63
58	89	62
59	90	60
60	91	58
61	92	56
62	94	55
63	95	53
64	96	51
65	97	50
66	98	48
67	99	46
68	100	45
69	101	43
70	102	41
71	103	40
72	104	38
73	105	37
74	106	35
75	107	33
76	108	32
77	109	30
78	110	29
79	111	27
80	113	26
81	113	25
82	115	23
83	116	22
84	117	20
85	118	19
86	119	17
87	120	16
88	121	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	131	1
99	132	0
